Alisa Ahmann,https://www.fashionmodeldirectory.com/models/alisa_ahmann/,German,1994,179.0,79.0,61.0,88.0,32,39,Light brown,Blue
Amira Ahmed,https://www.fashionmodeldirectory.com/models/amira_ahmed/,Swedish,NA,174.0,81.0,58.5,86.5,34,39,Brown,Brown
Kadra Ahmed-Omar,https://www.fashionmodeldirectory.com/models/kadra_ahmed-omar/,Ethiopian,1975,175.0,84.0,58.5,89.0,36,39,Brown,Brown
Samantha Ahrens,https://www.fashionmodeldirectory.com/models/samantha_ahrens/,American,NA,175.0,86.0,61.0,86.0,34,39,Light brown,Blue
Sophia Ahrens,https://www.fashionmodeldirectory.com/models/sophia_ahrens/,British (English),NA,180.0,86.0,66.0,89.0,34-36,38.5,Light brown,Hazel
Wemi Ahunamba,https://www.fashionmodeldirectory.com/models/wemi_ahunamba/,American,NA,178.0,84.0,66.0,89.0,35,41,Black,Brown
Pamela Aich,https://www.fashionmodeldirectory.com/models/pamela_aich/,American,NA,179.0,84.0,61.0,89.0,34,37,Blonde,Blue
Ruben Aiello,https://www.fashionmodeldirectory.com/models/ruben_aiello/,Italian,December 14,186.0,98.0,76.0,96.0,48,44,Dark blonde,Blue
Adesuwa Aighewi,https://www.fashionmodeldirectory.com/models/adesuwa_aighewi/,American,"April 22, 1988",178.0,79.0,61.0,86.5,32,40,Black,Brown
Natazha Aiken,https://www.fashionmodeldirectory.com/models/natazha_aiken/,American,NA,178.0,86.0,64.0,86.0,34,38,Brown,Brown
Alisar Ailabouni,https://www.fashionmodeldirectory.com/models/alisar_ailabouni/,Austrian,March 21 1989,178.0,79.0,61.0,89.0,36,40,Dark brown,Dark brown
Ann-Marie Ainikkamäki,https://www.fashionmodeldirectory.com/models/ann-marie_ainikkam%c3%a4ki/,Finnish,"June 27, 1990",178.0,81.0,60.0,89.0,34,38,Brown,Blue / grey
Jacqui Ainsley,https://www.fashionmodeldirectory.com/models/jacqui_ainsley/,British (English),"November 28, 1981",175.0,86.5,61.0,89.0,34,39,Blonde,Brown
Otilia Aionesei,https://www.fashionmodeldirectory.com/models/otilia_aionesei/,Romanian,1987,175.0,81.0,61.0,89.0,34,39,Dark blonde,Blue
Jorgelina Airaldi,https://www.fashionmodeldirectory.com/models/jorgelina_airaldi/,Argentinian,April 17 1984,175.0,86.0,60.0,86.5,34,40,Brown,Blue / green
Samuel Aitken,https://www.fashionmodeldirectory.com/models/samuel_aitken/,South African,NA,185.0,99.0,81.0,82.0,50,44,Brown,Hazel
Sianie Aitken,https://www.fashionmodeldirectory.com/models/sianie_aitken/,Australian,NA,175.0,85.0,66.0,93.0,34,40,Blonde,Blue
Akiima Ajak,https://www.fashionmodeldirectory.com/models/akiima_ajak/,Australian,1997,181.0,78.0,58.5,89.0,32-34,40,Black,Dark brown
Feranmi Ajetomobi,https://www.fashionmodeldirectory.com/models/feranmi_ajetomobi/,Nigerian,NA,185.0,84.0,75.0,87.0,48,43,Black,Dark brown
Aika Ajgulya,https://www.fashionmodeldirectory.com/models/aika_ajgulya/,Russian,NA,173.0,85.0,58.0,88.0,34,38,Brown,Green
Nylow Ajing,https://www.fashionmodeldirectory.com/models/nylow_ajing/,Sudanese,NA,173.0,76.0,57.0,76.0,30-32,41,Black,Brown
Deborah Akanni,https://www.fashionmodeldirectory.com/models/deborah_akanni/,Nigerian,NA,178.0,79.0,59.0,86.0,34,42,Black,Brown
Neva Akdag,https://www.fashionmodeldirectory.com/models/neva_akdag/,German,NA,180.0,79.0,61.0,88.0,34,42,Dark brown,Hazel
Adut Akech Bior,https://www.fashionmodeldirectory.com/models/adut_akech+bior/,South Sudanese,"1999, 25th December",176.0,85.0,61.0,84.0,32,38,Black,Black
Tricia Akello,https://www.fashionmodeldirectory.com/models/tricia_akello/,Ugandan,NA,180.0,81.0,60.0,88.0,34-36,41,Black,Brown
Mammina Aker,https://www.fashionmodeldirectory.com/models/mammina_aker/,Senegalese,NA,178.0,81.0,60.0,83.0,32-34,37,Brown,Brown
Amelia Rose Akerhielm,https://www.fashionmodeldirectory.com/models/amelia+rose_akerhielm/,American,NA,175.0,73.0,58.0,85.0,34,39,Brown,Blue
Lisa Akesson,https://www.fashionmodeldirectory.com/models/lisa_akesson/,Swedish,"October 23, 1989",178.0,87.0,64.0,93.0,38,39,Brown,Green
Tatia Akhalaia,https://www.fashionmodeldirectory.com/models/tatia_akhalaia/,Georgian,NA,180.0,82.0,59.0,89.0,35,40,Dark brown,Brown
Kristina Akheeva,https://www.fashionmodeldirectory.com/models/kristina_akheeva/,Australian,"November 1, 1986",170.0,81.0,61.0,86.5,32,37,Dark brown,Brown
Nastya Akhmametjeva,https://www.fashionmodeldirectory.com/models/nastya_akhmametjeva/,Russian,NA,177.0,80.0,60.0,88.0,34,39,Light brown,Green / hazel
Olga Akhunova,https://www.fashionmodeldirectory.com/models/olga_akhunova/,Russian,"November 28, 1983",177.0,82.0,60.0,89.0,34,40,Brown,Blue
Archana Akil Kumar,https://www.fashionmodeldirectory.com/models/archana_akil+kumar/,Indian,August 23,175.0,81.0,61.0,91.0,33,39,Black,Brown
Azra Akin,https://www.fashionmodeldirectory.com/models/azra_akin/,Turkish,December 8 1981,177.0,89.0,64.0,92.0,36,39,Brown,Brown
Shade Akinbobola,https://www.fashionmodeldirectory.com/models/shade_akinbobola/,Nigerian,NA,180.0,73.0,58.0,84.0,33,38.5,Black,Brown
Aitiola Akinola,https://www.fashionmodeldirectory.com/models/aitiola_akinola/,Nigerian,NA,180.0,81.0,61.0,86.0,34,42,Black,Brown
Umi Akiyoshi,https://www.fashionmodeldirectory.com/models/umi_akiyoshi/,American,"October 4, 1996",174.0,79.0,62.0,87.5,33,37,Black,Brown
Kyosuke Akiyoshi,https://www.fashionmodeldirectory.com/models/kyosuke_akiyoshi/,Japanese,NA,186.0,87.0,70.0,89.0,46,44,Black,Dark brown
